incident_name,county,fire_danger_score
El Dorado Fire,Riverside,100.0
Valley Fire,San Diego,93.33333333333333
Oak Fire,Mendocino,80.0
Willow Fire,Yuba,80.0
Sperry Fire,Stanislaus,53.333333333333336
Schoolhouse Fire,Siskiyou,60.0
Shackleford Fire,Siskiyou,60.0
Bullfrog Fire,Fresno,80.0
Fox Fire,Siskiyou,80.0
San Antonio Fire ,Santa Barbara,80.0
Glass Fire,Napa,93.33333333333333
Glass Fire,Sonoma,93.33333333333333
Zogg Fire,Shasta,93.33333333333333
Zogg Fire,Tehama,93.33333333333333
Martindale Fire ,Los Angeles,80.0
Candy Fire,Riverside,60.0
Copper Fire ,Amador,53.333333333333336
Pony Fire,Sacramento,46.666666666666664
Lambert Fire,Amador,60.0
Fields Fire ,Yuba,53.333333333333336
Irvine Fire,Contra Costa,46.666666666666664
Diamond Fire,Calaveras,60.0
Bruder Fire,San Bernardino,60.0
Cameron Fire,El Dorado,46.666666666666664
Ferry Fire,Butte,46.666666666666664
Pope Fire,Napa,66.66666666666667
Olinda Fire,Shasta,46.666666666666664
Silverado Fire ,Orange,93.33333333333333
Blue Ridge Fire ,Orange,93.33333333333333
San Dimas Fire,Los Angeles,60.0
Airport Fire,Riverside,80.0
Bond Fire,Orange,93.33333333333333
Thomas Fire,Lassen,46.666666666666664
Sanderson Fire,Riverside,66.66666666666667
Erbes Fire,Ventura,60.0
72 Fire,Riverside,53.333333333333336
Panther Ridge Fire,Santa Cruz,46.666666666666664
Freedom Fire,Santa Cruz,53.333333333333336
